#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
107,6,6.550000E+00,1.529439E+00,-1.551629E-01,1.300000E+01,Active Shallow Crust,3.575918E+01,3.079638E+01,9.000000E+01
108,4,6.550000E+00,1.540674E+00,-1.411178E-01,1.300000E+01,Active Shallow Crust,3.273373E+01,3.099233E+01,9.000000E+01
109,3,6.550000E+00,1.551910E+00,-1.270726E-01,1.300000E+01,Active Shallow Crust,2.959151E+01,3.119103E+01,9.000000E+01
110,5,6.550000E+00,1.563146E+00,-1.130274E-01,1.300000E+01,Active Shallow Crust,2.634545E+01,3.139221E+01,9.000000E+01
111,8,6.550000E+00,1.574382E+00,-9.898228E-02,1.300000E+01,Active Shallow Crust,2.301216E+01,3.159582E+01,9.000000E+01
112,2,6.550000E+00,1.585617E+00,-8.493713E-02,1.300000E+01,Active Shallow Crust,1.961145E+01,3.180080E+01,9.000000E+01
113,8,6.550000E+00,1.585342E+00,-6.695288E-02,1.300000E+01,Active Shallow Crust,1.616571E+01,3.200776E+01,9.000000E+01
114,8,6.550000E+00,1.585068E+00,-4.896864E-02,1.300000E+01,Active Shallow Crust,1.269959E+01,3.221881E+01,9.000000E+01
115,7,6.550000E+00,1.584793E+00,-3.098440E-02,1.300000E+01,Active Shallow Crust,9.238247E+00,3.243285E+01,9.000000E+01
116,7,6.550000E+00,1.584518E+00,-1.300015E-02,1.300000E+01,Active Shallow Crust,5.806427E+00,3.264813E+01,9.000000E+01
117,4,6.550000E+00,1.584243E+00,4.984087E-03,1.300000E+01,Active Shallow Crust,2.427938E+00,3.286675E+01,9.000000E+01
118,5,6.550000E+00,1.583968E+00,2.296833E-02,1.300000E+01,Active Shallow Crust,3.591244E+02,3.308742E+01,9.000000E+01
119,10,6.550000E+00,1.583693E+00,4.095257E-02,1.300000E+01,Active Shallow Crust,3.591244E+02,3.308712E+01,9.000000E+01
120,5,6.550000E+00,1.583418E+00,5.893681E-02,1.300000E+01,Active Shallow Crust,3.591245E+02,3.308818E+01,9.000000E+01
121,9,6.550000E+00,1.583143E+00,7.692105E-02,1.300000E+01,Active Shallow Crust,3.591245E+02,3.308892E+01,9.000000E+01
122,3,6.550000E+00,1.582869E+00,9.490529E-02,1.300000E+01,Active Shallow Crust,3.591246E+02,3.308893E+01,9.000000E+01
123,5,6.550000E+00,1.262477E+00,-5.132554E-01,1.400000E+01,Active Shallow Crust,3.865906E+01,3.060210E+01,9.000000E+01
124,11,6.550000E+00,1.273713E+00,-4.992105E-01,1.400000E+01,Active Shallow Crust,3.865899E+01,3.060261E+01,9.000000E+01
125,12,6.550000E+00,1.284949E+00,-4.851655E-01,1.400000E+01,Active Shallow Crust,3.865895E+01,3.060233E+01,9.000000E+01
126,7,6.550000E+00,1.296185E+00,-4.711206E-01,1.400000E+01,Active Shallow Crust,3.865894E+01,3.060289E+01,9.000000E+01
127,11,6.550000E+00,1.307421E+00,-4.570756E-01,1.400000E+01,Active Shallow Crust,3.865885E+01,3.060382E+01,9.000000E+01
128,4,6.550000E+00,1.318657E+00,-4.430307E-01,1.400000E+01,Active Shallow Crust,3.865884E+01,3.060440E+01,9.000000E+01
